,section,2005,2007,2009,2011,2013,2015,2017,2019,2021
0,Мужчины,6221,9844,13958,16932,22260.0,25860.0,29451.0,32949.0,40589.0
1,Женщины,5420,8793,12039,15062,22031.0,24290.0,27399.0,31355.0,39815.0
