,Economics_section,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,добыча полезных ископаемых,100,153.18,121.78,125.55,121.06,117.13,117.33,121.44,118.14,106.5,112.81,113.13,111.67,107.46,108.86,108.03,109.8,106.49,111.69,107.41,106.73,108.51,114.4,110.52
1,строительство,100,146.2,124.55,128.5,118.26,123.79,120.2,131.87,129.59,97.57,116.83,111.86,109.58,106.75,105.97,102.06,107.92,104.16,114.37,110.68,104.95,116.11,117.14,113.3
2,образование,100,147.8,159.7,115.69,124.12,129.17,128.61,125.7,128.92,117.47,105.88,112.32,120.15,123.49,110.25,104.12,104.31,107.72,113.56,107.89,106.72,109.67,111.55,112.11
