,Economics_section,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,добыча полезных ископаемых,100,127.44,102.7,109.12,108.09,104.82,105.79,111.41,105.6,94.01,103.69,104.0,105.25,100.83,102.26,97.01,97.24,101.05,108.94,103.01,103.57,103.43,105.55,98.75
1,строительство,100,121.63,105.04,111.68,105.6,110.79,108.37,120.98,115.84,86.13,107.38,102.83,103.28,100.16,99.55,91.65,95.58,98.84,111.56,106.14,101.84,110.67,108.08,101.24
2,образование,100,122.96,134.68,100.55,110.83,115.6,115.96,115.32,115.24,103.7,97.32,103.25,113.25,115.87,103.57,93.5,92.38,102.22,110.77,103.47,103.56,104.54,102.91,100.17
