,section,2005,2007,2009,2011,2013,2015,2017,2019,2021
7,Мужчины,20381,28749,35923,44723,51054.0,61216.0,72065.0,80663.0,96768.0
8,Женщины,14312,21809,27583,33375,38889.0,45123.0,52903.0,61246.0,75221.0
