,section,2005,2007,2009,2011,2013,2015,2017,2019,2021
0,Мужчины,12913,20314,24490,31243,37680.0,42157.0,49387.0,61263.0,80270.0
1,Женщины,9941,16085,21127,26804,31844.0,38008.0,47242.0,53296.0,73489.0
